Owner ID,Owner Name,Opponent ID,Opponent Name,Win %,Wins,Losses,Ties,Games Played,Points For,Points Against
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,{EC205991-7770-43C6-94F0-5B719BD9243B},CC,55.56,10,8,0,18,1946.94,2032.2800000000002
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,{4D8C84EB-2E3A-47C0-9B53-AFF14AC5EA37},CR,53.33,8,7,0,15,1780.46,1671.56
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,{D2E084E8-90D0-4D92-A341-932971F0D009},DP,50.0,9,9,0,18,1899.32,1788.8600000000001
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,{09E9F913-BDB0-4950-9644-E139FB665A84},DW,47.06,8,9,0,17,1968.92,2085.3399999999997
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,{45D0A7E7-09F4-46A9-A645-D9916718BD78},GW,33.33,1,2,0,3,282.5,308.0
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,{C061D55B-465C-4196-A1D5-5B465C0196C1},MD,50.0,1,1,0,2,240.36,260.78
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,{46A3A90B-4540-4E5B-ABF0-FF0CCED65E27},MS,57.14,8,6,0,14,1604.14,1567.44
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,{AC461785-F6A3-4FE2-904F-9D3FB07C2316},PM,0.0,0,1,0,1,92.0,112.0
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,{AB415A49-3D83-422A-815A-493D83822A7E},RP,75.0,12,4,0,16,1707.42,1418.0
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,{10A033CE-9579-464C-A7D6-40A19C59EDC4},TM,62.5,10,6,0,16,1938.2000000000003,1783.2999999999997
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,{2B87250A-3130-4743-975F-64E7E7AFB389},WM,100.0,2,0,0,2,235.0,191.5
